minutes,only
568,yes
479,yes
791,yes
881,yes
1026,yes
599,yes
857,yes
826,yes
845,yes
537,yes
877,yes
802,yes
891,yes
839,yes
671,yes
879,yes
997,yes
857,yes
816,yes
1051,yes
748,yes
913,yes
1194,yes
406,yes
791,yes
781,yes
790,yes
1329,yes
1029,yes
491,yes
800,yes
352,no
610,no
127,no
618,no
432,no
522,no
863,no
672,no
303,no
1097,no
811,no
704,no
585,no
282,no
1158,no
429,no
821,no
418,no
766,no
786,no
899,no
432,no
650,no
487,no
1136,no
952,no
364,no
699,no
424,no
843,no
587,no
998,no
497,no
993,no
1051,no
308,no
804,no
508,no
859,no
920,no
1041,no
892,no
998,no
489,no
68,no
1340,no
1317,no
660,no
906,no
1260,no
805,no
208,no
857,no
1206,no
798,no
689,no
460,no
997,no
1141,no
214,no
700,no
